Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-6-ABH,UZB-6-SARD,UZB-6-NURI,UZB-6-OPE,Tekshiruv,UZB-6-ABH.1,UZB-6-SARD.1,UZB-6-NURI.1,UZB-6-OPE.1,month
06 Fargona,EP-OIL-090.003,43,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 6x3L,165,45,45,36,42,3,252.0,252.0,201.60000000000002,235.20000000000002,iyul
06 Fargona,EP-OIL-090.004,44,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 4x4L,892,240,244,188,220,ok,1344.0,1366.3999999999999,1052.8,1232.0,iyul
06 Fargona,EP-OIL-090.060,45,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 60L,420,60,120,120,120,ok,291.0,582.0,582.0,582.0,iyul
06 Fargona,EP-OIL-090.209,46,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 209L,418,209,209,0,0,ok,1013.65,1013.65,0.0,0.0,iyul
06 Fargona,EP-OIL-050.020,47,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 20L,2240,580,620,480,560,ok,3588.75,3836.25,2970.0,3465.0,iyul
06 Fargona,EP-OIL-050.209,48,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
06 Fargona,EP-OIL-080.020,49,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 20L,880,240,240,180,220,ok,1212.0,1212.0,909.0,1111.0,iyul
06 Fargona,EP-OIL-080.209,50,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 209L,418,209,209,0,0,ok,950.9499999999999,950.9499999999999,0.0,0.0,iyul
06 Fargona,EP-OIL-191.001,51,TRANSMISS,EPSENT REDLINE CVT - 12x1L,17,5,5,4,4,1,46.4,46.4,37.12,37.12,iyul
06 Fargona,EP-OIL-192.001,52,TRANSMISS,EPSENT REDLINE LV - 12x1L,53,14,14,11,13,-1,129.92,129.92,102.08,120.63999999999999,iyul
06 Fargona,EP-OIL-190.001,53,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 12x1L,778,208,212,164,194,ok,1551.68,1581.52,1223.44,1447.24,iyul
06 Fargona,EP-OIL-190.060,54,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 60L,360,0,120,180,60,ok,0.0,716.4,1074.6,358.2,iyul
06 Fargona,EP-OIL-190.209,55,TRANSMISS,EPSENT REDLINE SYN OEM Dex VI 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
06 Fargona,EP-OIL-040.001,56,COOLANT,EPSENT COOLEN LONG-LIFE - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
06 Fargona,EP-OIL-040.209,57,COOLANT,EPSENT COOLEN LONG-LIFE  - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
06 Fargona,EP-OIL-272.001,58,4T,EPSENT FREEDOM-4T 10W40 API SN - 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
06 Fargona,EP-OIL-010.209,59,COMPRESSOR,EPSENT COMPRESSOR 2000 ISO 150 - 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
06 Fargona,EP-OIL-271.015,60,GREASE,EPSENT GREASE LITHIUM COMPLEX EP-2 - 15KG,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
06 Fargona,EP-OIL-270.015,61,GREASE,EPSENT GREASE LITHIUM EP-2 - 15KG,15,0,15,0,0,ok,0.0,78.33,0.0,0.0,iyul
06 Fargona,EP-OIL-140.001,62,GEAR OIL,EPSENT PLUGEAR 75W90 API GL-4/5/MT-1 - 12x1L,87,23,24,18,22,ok,237.13000000000002,247.44,185.58,226.82000000000002,iyul
06 Fargona,EP-OIL-220.001,63,GEAR OIL,EPSENT SYN-GEAR 75W90 API GL-4 12x1L,29,8,8,6,7,ok,70.16,70.16,52.62,61.39,iyul
06 Fargona,EP-OIL-200.020,64,SOJ,EPSENT STEELCUT SOLUBLE-100 - 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
06 Fargona,EP-OF-557,65,FILTER,"EPSENT Oil-Filter DF557 SILVER Malibu-2, Captiva3.",700,187,191,148,174,ok,374.0,382.0,296.0,348.0,iyul
06 Fargona,EP-OF-581,66,FILTER,"EPSENT Oil-Filter DF581 SILVER Spark, Cobalt, Gent",0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
06 Fargona,EP-OF-582,67,FILTER,"EPSENT Oil-Filter DF582 PREMIUM Spark, Cobalt, Gen",450,120,123,95,112,ok,138.0,141.45,109.24999999999999,128.79999999999998,iyul
06 Fargona,EP-OF-690,68,FILTER,EPSENT Oil-Filter DF690 SILVER EQUINOX 2,30,8,8,6,7,-1,24.0,24.0,18.0,21.0,iyul
06 Fargona,EP-OF-732,69,FILTER,"EPSENT Oil-Filter DF732 SILVER Lacetti, DOHC, Tacu",40,11,11,8,10,ok,13.2,13.2,9.6,12.0,iyul
06 Fargona,EP-OF-733,70,FILTER,"EPSENT Oil-Filter DF733 PREMIUM Lacetti, DOHC, Tac",200,53,55,42,50,ok,63.599999999999994,66.0,50.4,60.0,iyul
06 Fargona,EP-OF-874,71,FILTER,"EPSENT Oil-Filter DF874 SILVER Damas, Tico, Matiz",700,187,191,148,174,ok,215.04999999999998,219.64999999999998,170.2,200.1,iyul
06 Fargona,EP-OF-875,72,FILTER,"EPSENT Oil-Filter DF875 PREMIUM Damas, Tico, Matiz",700,187,191,148,174,ok,215.04999999999998,219.64999999999998,170.2,200.1,iyul
06 Fargona,EP-AF-122,73,FILTER,EPSENT Air-Filter AF122 Malibu 2,50,13,14,11,12,ok,53.3,57.39999999999999,45.099999999999994,49.199999999999996,iyul
06 Fargona,EP-AF-172,74,FILTER,EPSENT Air-Filter AF172 Malibu 1,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
06 Fargona,EP-AF-310,75,FILTER,"EPSENT Air-Filter AF310 Tracker 2, Onix",80,21,22,17,20,ok,38.85,40.7,31.450000000000003,37.0,iyul
06 Fargona,EP-AF-311,76,FILTER,"EPSENT Air-Filter AF311 Tracker 2, Onix",60,16,16,13,15,ok,36.8,36.8,29.9,34.5,iyul
