Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-13-MDN,UZB-13-SAR,UZB-13-OPE,UZB-13-BEX,Tekshiruv,UZB-13-MDN.1,UZB-13-SAR.1,UZB-13-OPE.1,UZB-13-BEX.1,month
13 Buxoro,LB-091.020,98,DIESEL,LUBRENT DMO PRESENT API CF-4/SG 20W50 -  20L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,LB-080.020,99,COMPRESSOR,LUBRENT COMPRESSOR ARC 150 -  20L,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,iyul
13 Buxoro,KB001.001,100,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 12x1KG,20,5,5,5,4,-1,10.3,10.3,10.3,8.24,iyul
13 Buxoro,KB001.005,101,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 3x5KG,100,25,25,25,20,-5,41.50000000000001,41.50000000000001,41.50000000000001,33.2,iyul
13 Buxoro,KB001.020,102,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 20KG,80,20,20,20,20,ok,28.9,28.9,28.9,28.9,iyul
13 Buxoro,KB002.001,103,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 12x1KG,82,21,22,21,18,ok,44.1,46.2,44.1,37.800000000000004,iyul
13 Buxoro,KB002.005,104,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 3x5KG,335,85,90,85,75,ok,144.5,153.0,144.5,127.5,iyul
13 Buxoro,KB002.020,105,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 20KG,220,60,60,60,40,ok,88.5,88.5,88.5,59.0,iyul
13 Buxoro,KB001.010,106,COOLANT,KB ANTIFRIZ G-11 -40С Kok - 10KG,40,10,10,10,10,ok,14.75,14.75,14.75,14.75,iyul
13 Buxoro,KB002.010,107,COOLANT,KB ANTIFRIZ G-12 -40С Qizil - 10KG,80,20,20,20,20,ok,30.0,30.0,30.0,30.0,iyul
